,Unnamed: 0,aspect,base_category,MAIN_CATEGORY
413,413,heat pump,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
414,414,paddle shifter,transmission,POWERTRAIN / PERFORMANCE
415,415,propulsion,engine / power train,POWERTRAIN / PERFORMANCE
416,416,paddle shift gearbox,transmission,POWERTRAIN / PERFORMANCE
417,417,junctions in efficiency mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
418,418,key,keys & lock,SAFETY
419,419,a3 looks,design,EMOTIONAL / SENSORY / VISUAL
420,420,rs6 everyday performance,performance,POWERTRAIN / PERFORMANCE
421,421,drive long way,drive,POWERTRAIN / PERFORMANCE
422,422,on track performance,performance,POWERTRAIN / PERFORMANCE
423,423,below body structure,body class,EXTERIOR / STYLING / DESIGN
424,424,car interaction,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
425,425,tv chair,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
426,426,purple ambient lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
427,427,virtual 360 degree cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
428,428,experience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
429,429,goodies,functionality & features,FUNCTIONAL / UTILITY FEATURES
430,430,exteriors,exterior materials & finish,EXTERIOR / STYLING / DESIGN
431,431,magic sky control,roof,EXTERIOR / STYLING / DESIGN
432,432,adult occupant protection in the crash test .,safety,SAFETY
433,433,small,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
434,434,speed,acceleration,POWERTRAIN / PERFORMANCE
435,435,top up,roof,EXTERIOR / STYLING / DESIGN
436,436,hooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
437,437,control,physical controls,INTERIOR / COMFORT / ERGONOMICS
438,438,long haul,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
439,439,stereo system,audio,EMOTIONAL / SENSORY / VISUAL
440,440,buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
441,441,brightness,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
442,442,serious offroad,road terrain,HANDLING / DYNAMICS
443,443,driving modes,drive,POWERTRAIN / PERFORMANCE
444,444,laser beam headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
445,445,car start,functionality & features,FUNCTIONAL / UTILITY FEATURES
446,446,cover storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
447,447,high speed,acceleration,POWERTRAIN / PERFORMANCE
448,448,fittings,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
449,449,carbon fibre trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
450,450,q3,model / generic car terms,GENERAL INFORMATION
451,451,surfacing treatment,exterior materials & finish,EXTERIOR / STYLING / DESIGN
452,452,false floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
453,453,stitching,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
454,454,spirit,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
455,455,oil,fuel / energy / charging,POWERTRAIN / PERFORMANCE
456,456,graphic,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
457,457,footspace,passenger space,INTERIOR / COMFORT / ERGONOMICS
458,458,take off,acceleration,POWERTRAIN / PERFORMANCE
459,459,lower section,boot / cargo,FUNCTIONAL / UTILITY FEATURES
460,460,exhaust noise (dynamic mode),exhaust,POWERTRAIN / PERFORMANCE
461,461,long distance,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
462,462,stability control,traction / stability,HANDLING / DYNAMICS
463,463,space in backseats,passenger space,INTERIOR / COMFORT / ERGONOMICS
464,464,m 135,model / generic car terms,GENERAL INFORMATION
465,465,over six foot,passenger space,INTERIOR / COMFORT / ERGONOMICS
466,466,beeping,audio,EMOTIONAL / SENSORY / VISUAL
467,467,cruise,driver assistance,SAFETY
468,468,rs6,model / generic car terms,GENERAL INFORMATION
469,469,boot spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
470,470,ventilation controls,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
471,471,playing music,audio,EMOTIONAL / SENSORY / VISUAL
472,472,headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
473,473,fixed covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
474,474,moon roof shade,roof,EXTERIOR / STYLING / DESIGN
475,475,engine notes,engine / power train,POWERTRAIN / PERFORMANCE
476,476,thirdrow seats,seats,INTERIOR / COMFORT / ERGONOMICS
477,477,door open,doors,EXTERIOR / STYLING / DESIGN
478,478,cubby space,passenger space,INTERIOR / COMFORT / ERGONOMICS
479,479,third row space,passenger space,INTERIOR / COMFORT / ERGONOMICS
480,480,s line,packages / trims / variants,GENERAL INFORMATION
481,481,radio,audio,EMOTIONAL / SENSORY / VISUAL
482,482,getting back,generic description & miscellaneous,GENERAL INFORMATION
483,483,releases,packages / trims / variants,GENERAL INFORMATION
484,484,manual transmission,transmission,POWERTRAIN / PERFORMANCE
485,485,lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
486,486,carrying rear passengers,passenger space,INTERIOR / COMFORT / ERGONOMICS
487,487,ingredients,generic description & miscellaneous,GENERAL INFORMATION
488,488,menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
489,489,reversing with assistant,driver assistance,SAFETY
490,490,electricity,fuel / energy / charging,POWERTRAIN / PERFORMANCE
491,491,front discs,brake,HANDLING / DYNAMICS
492,492,boot volume,boot / cargo,FUNCTIONAL / UTILITY FEATURES
493,493,front seats sound,audio,EMOTIONAL / SENSORY / VISUAL
494,494,concierge service,functionality & features,FUNCTIONAL / UTILITY FEATURES
495,495,brake callipers,brake,HANDLING / DYNAMICS
496,496,speeding,acceleration,POWERTRAIN / PERFORMANCE
497,497,crossover,body type,EXTERIOR / STYLING / DESIGN
498,498,aura,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
499,499,steering reflexes,steering,HANDLING / DYNAMICS
500,500,camera system,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
501,501,underline support,chassis / structural,STRUCTURAL
502,502,zero petrol use,fuel / energy / charging,POWERTRAIN / PERFORMANCE
503,503,going round,road terrain,HANDLING / DYNAMICS
504,504,surfaces,road terrain,HANDLING / DYNAMICS
505,505,two litre diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
506,506,surface,road terrain,HANDLING / DYNAMICS
507,507,traffic updates,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
508,508,digital gauge,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
509,509,leg room second row,passenger space,INTERIOR / COMFORT / ERGONOMICS
510,510,discount,value / cost,DISTANCE / MEASUREMENT /  COST
511,511,boot floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
512,512,a8,model / generic car terms,GENERAL INFORMATION
513,513,driving sensation,drive,POWERTRAIN / PERFORMANCE
514,514,cabin layout,interior,INTERIOR / COMFORT / ERGONOMICS
515,515,front seating,seats,INTERIOR / COMFORT / ERGONOMICS
516,516,travelling,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
517,517,temperature,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
518,518,anti friction turbo bearings,engine / power train,POWERTRAIN / PERFORMANCE
519,519,isolation,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
520,520,normal wheel base version,generic description & miscellaneous,GENERAL INFORMATION
521,521,windows,windows / glass,EXTERIOR / STYLING / DESIGN
522,522,model x,model / generic car terms,GENERAL INFORMATION
523,523,parkability,parking,FUNCTIONAL / UTILITY FEATURES
524,524,standard entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
525,525,energy,fuel / energy / charging,POWERTRAIN / PERFORMANCE
526,526,engine stop start feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
527,527,audio systems,audio,EMOTIONAL / SENSORY / VISUAL
528,528,electric adjustment (steering),steering,HANDLING / DYNAMICS
529,529,head restraints,seats,INTERIOR / COMFORT / ERGONOMICS
530,530,sound level,audio,EMOTIONAL / SENSORY / VISUAL
531,531,battery,fuel / energy / charging,POWERTRAIN / PERFORMANCE
532,532,graphics,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
533,533,architecture platform,chassis / structural,STRUCTURAL
534,534,four wheel drive system,drive,POWERTRAIN / PERFORMANCE
535,535,parking assistant plus,driver assistance,SAFETY
536,536,second row roof,roof,EXTERIOR / STYLING / DESIGN
537,537,quattro engine,engine / power train,POWERTRAIN / PERFORMANCE
538,538,carsick people,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
539,539,rs5 looks,design,EMOTIONAL / SENSORY / VISUAL
540,540,seating tunnel,seats,INTERIOR / COMFORT / ERGONOMICS
541,541,audi a7,model / generic car terms,GENERAL INFORMATION
542,542,departure angle,road terrain,HANDLING / DYNAMICS
543,543,gestures,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
544,544,rear wheel steering,steering,HANDLING / DYNAMICS
545,545,new engine,engine / power train,POWERTRAIN / PERFORMANCE
546,546,offroading,road terrain,HANDLING / DYNAMICS
547,547,going faster,acceleration,POWERTRAIN / PERFORMANCE
548,548,voice recognition,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
549,549,marina leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
550,550,dynamic mode,driving dynamics / handling,HANDLING / DYNAMICS
551,551,standard engine power,engine / power train,POWERTRAIN / PERFORMANCE
552,552,bmw a8 plug in hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
553,553,audi presence,generic description & miscellaneous,GENERAL INFORMATION
554,554,slabs,interior,INTERIOR / COMFORT / ERGONOMICS
555,555,get in and out,doors,EXTERIOR / STYLING / DESIGN
556,556,indicators,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
557,557,boot overall capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
558,558,find the right gear,transmission,POWERTRAIN / PERFORMANCE
559,559,throttle (sport),engine / power train,POWERTRAIN / PERFORMANCE
560,560,audi a one s line,model / generic car terms,GENERAL INFORMATION
561,561,surround view cameras,visibility & view,SAFETY
562,562,driving assistance package,driver assistance,SAFETY
563,563,false floor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
564,564,nintendo entertainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
565,565,fuel efficient,fuel / energy / charging,POWERTRAIN / PERFORMANCE
566,566,rev counter,engine / power train,POWERTRAIN / PERFORMANCE
567,567,usb,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
568,568,upgrades,options & specifications,GENERAL INFORMATION
569,569,every material,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
570,570,3 50 d price,value / cost,DISTANCE / MEASUREMENT /  COST
571,571,gated shifter,transmission,POWERTRAIN / PERFORMANCE
572,572,air purification system with perfume,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
573,573,reversing assistant,driver assistance,SAFETY
574,574,bluetooth,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
575,575,down the door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
576,576,bowers and wilkins diamond surround sound system,audio,EMOTIONAL / SENSORY / VISUAL
577,577,charging points,fuel / energy / charging,POWERTRAIN / PERFORMANCE
578,578,remote control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
579,579,room,passenger space,INTERIOR / COMFORT / ERGONOMICS
580,580,overall quality,quality & durability,GENERAL INFORMATION
581,581,automatic performance,performance,POWERTRAIN / PERFORMANCE
582,582,stronic transmission,transmission,POWERTRAIN / PERFORMANCE
583,583,digital screens,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
584,584,third row seats,seats,INTERIOR / COMFORT / ERGONOMICS
585,585,back tire,wheels & tyres,HANDLING / DYNAMICS
586,586,sport suspension,suspension,HANDLING / DYNAMICS
587,587,rear leg room,passenger space,INTERIOR / COMFORT / ERGONOMICS
588,588,no load lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
589,589,over six foot tall,passenger space,INTERIOR / COMFORT / ERGONOMICS
590,590,satnav screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
591,591,interior light pattern,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
592,592,throttle,engine / power train,POWERTRAIN / PERFORMANCE
593,593,family seat,seats,INTERIOR / COMFORT / ERGONOMICS
594,594,digital controls,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
595,595,mercedes-benz accents,design,EMOTIONAL / SENSORY / VISUAL
596,596,v six,engine / power train,POWERTRAIN / PERFORMANCE
597,597,glovebox size,boot / cargo,FUNCTIONAL / UTILITY FEATURES
598,598,plastic head,exterior materials & finish,EXTERIOR / STYLING / DESIGN
599,599,grill,grill,EXTERIOR / STYLING / DESIGN
600,600,wheel arch,exterior materials & finish,EXTERIOR / STYLING / DESIGN
601,601,rear seat control,seats,INTERIOR / COMFORT / ERGONOMICS
602,602,back legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
603,603,bmw backseat,seats,INTERIOR / COMFORT / ERGONOMICS
604,604,sl,model / generic car terms,GENERAL INFORMATION
605,605,engine starting,engine / power train,POWERTRAIN / PERFORMANCE
606,606,paddle shifters,transmission,POWERTRAIN / PERFORMANCE
607,607,tired,wheels & tyres,HANDLING / DYNAMICS
608,608,sporting suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
609,609,practical side,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
610,610,automatic box,boot / cargo,FUNCTIONAL / UTILITY FEATURES
611,611,goes over bumps,road terrain,HANDLING / DYNAMICS
612,612,space saver,passenger space,INTERIOR / COMFORT / ERGONOMICS
613,613,cabin noise,interior,INTERIOR / COMFORT / ERGONOMICS
614,614,side collision avoidance system,safety,SAFETY
615,615,trip,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
616,616,speakers,audio,EMOTIONAL / SENSORY / VISUAL
617,617,lighting colors,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
618,618,steering controls,steering,HANDLING / DYNAMICS
619,619,around the bend,driving dynamics / handling,HANDLING / DYNAMICS
620,620,launch control system,acceleration,POWERTRAIN / PERFORMANCE
621,621,running costs,value / cost,DISTANCE / MEASUREMENT /  COST
622,622,dynamic steering,steering,HANDLING / DYNAMICS
623,623,pulls,acceleration,POWERTRAIN / PERFORMANCE
624,624,economics,value / cost,DISTANCE / MEASUREMENT /  COST
625,625,towing capacity,performance,POWERTRAIN / PERFORMANCE
626,626,laser headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
627,627,a4 dual clutch,transmission,POWERTRAIN / PERFORMANCE
628,628,comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
629,629,bmw technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
630,630,c 250 d,model / generic car terms,GENERAL INFORMATION
631,631,drive at speed,acceleration,POWERTRAIN / PERFORMANCE
632,632,vehicle lowest setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
633,633,front end look,design,EMOTIONAL / SENSORY / VISUAL
634,634,sports exhaust,exhaust,POWERTRAIN / PERFORMANCE
635,635,window ledges,windows / glass,EXTERIOR / STYLING / DESIGN
636,636,carbon emission,fuel / energy / charging,POWERTRAIN / PERFORMANCE
637,637,old v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
638,638,drawer,storage & utility,FUNCTIONAL / UTILITY FEATURES
639,639,change,generic description & miscellaneous,GENERAL INFORMATION
640,640,display panel,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
641,641,carrying three adults,passenger space,INTERIOR / COMFORT / ERGONOMICS
642,642,bmw x5,model / generic car terms,GENERAL INFORMATION
643,643,seven speed gear box,transmission,POWERTRAIN / PERFORMANCE
644,644,moonroof,roof,EXTERIOR / STYLING / DESIGN
645,645,off road,road terrain,HANDLING / DYNAMICS
646,646,trunk space,passenger space,INTERIOR / COMFORT / ERGONOMICS
647,647,middle seat footroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
648,648,operating window,interior,INTERIOR / COMFORT / ERGONOMICS
649,649,rear trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
650,650,core,chassis / structural,STRUCTURAL
651,651,semi autonomous driving system,driver assistance,SAFETY
652,652,v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
653,653,video chip,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
654,654,sport mode shift,transmission,POWERTRAIN / PERFORMANCE
655,655,displacement,engine / power train,POWERTRAIN / PERFORMANCE
656,656,center,interior,INTERIOR / COMFORT / ERGONOMICS
657,657,catches,keys & lock,SAFETY
658,658,mercedes badge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
659,659,load lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
660,660,runs,performance,POWERTRAIN / PERFORMANCE
661,661,head rest not put up,seats,INTERIOR / COMFORT / ERGONOMICS
662,662,rear quarters,passenger space,INTERIOR / COMFORT / ERGONOMICS
663,663,exterior color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
664,664,middle spot,passenger space,INTERIOR / COMFORT / ERGONOMICS
665,665,driving tech,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
666,666,automatic mode,driving dynamics / handling,HANDLING / DYNAMICS
667,667,side blades,side section,EXTERIOR / STYLING / DESIGN
668,668,driving on bumps,drive,POWERTRAIN / PERFORMANCE
669,669,power folding,engine / power train,POWERTRAIN / PERFORMANCE
670,670,ecosystem,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
671,671,gravel road,road terrain,HANDLING / DYNAMICS
672,672,voice activation system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
673,673,console layer,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
674,674,technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
675,675,towing up,functionality & features,FUNCTIONAL / UTILITY FEATURES
676,676,ridge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
677,677,suspension,suspension,HANDLING / DYNAMICS
678,678,dump control,suspension,HANDLING / DYNAMICS
679,679,sport mode,driving dynamics / handling,HANDLING / DYNAMICS
680,680,name,generic description & miscellaneous,GENERAL INFORMATION
681,681,tire holding,wheels & tyres,HANDLING / DYNAMICS
682,682,child seat base,seats,INTERIOR / COMFORT / ERGONOMICS
683,683,autonomous driving system,driver assistance,SAFETY
