values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
rear seat control,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
BMW launch control,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
electricity usage,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
laser light headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
total range,,,,Other,,Other,,
hubs,,,,Other,,Other,,
back legroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - back legroom
voice commands,,,,Other,,Other,,Voice & Commands
shift,,,,Other,,Other,,
carbon fibre engine cover,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,engine/ power train
view of the vehicle,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
fuel tank,,,,Other,,Other,,Fuel / Energy / Charging
rear visibility,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
emergency service,,,,Other,,Other,,Road Terrain
sport seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
kids,,,,Other,,Other,,
back seat space,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
deals,,,,Other,,Other,,
construction material,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
drive itself,,,,Other,,Other,,
talk converter,,,,Other,,Other,,
blow,,,,Other,,Other,,
AC,,,,Other,,Other,,
rear trunk,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
ride quality,,,,Other,,Other,,Suspension
old V8 engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
deceleration,,,,Other,,Other,,brake
Big Boy Twin Turbo,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,
bigger bumps,,,,Other,,Other,,Road Terrain
softer suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
storage cubbies,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
rear headrooms,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - rear headrooms
new RS6 300D GT-R,,,,Other,,Other,,Generic Car Terms
stopping power,,,,Other,,Handling & Dynamics,,engine/ power train
oil,,,,Other,,Other,,
six cylinder car,,,,Other,,Other,,engine/ power train
overall quality,,,,Other,,Other,,
offroading traction control,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Road Terrain
M 135,,,,Other,,Other,,
cost steering ,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
corner braking,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,brake
learn to drive,,,,Other,,Other,,
review mirror,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
launch control system,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
A3 platform,,,,Other,,Other,,Generic Car Terms
air intake,,,,Other,,Other,,
power surge,,,,Other,,Other,,engine/ power train
product,,,,Other,,Other,,
country roads,,,,Other,,Other,,
feature,,,,Other,,Other,,
Google Earth,,Navigation & Mapping,Technology,Other,,Other,,Navigation / Mapping
underfloor storage area,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
lettering feature,,,,Other,,Other,,
three in the back,,,,Other,,Other,,
Mercedes-Benz C . L . A,,,,Other,,Other,,Generic Car Terms
ionic,,,,Other,,Other,,
diamonds,,,,Other,,Other,,
C 220,,,,Other,,Other,,Generic Car Terms
metallic flack,,,,Other,,Other,,
backseat head room,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
metallic speakers,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
discount,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
ventilated seat option,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
0 to 60 run,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
trim (outside),,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
bolsters on steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
speed shift transmission,,,,Acceleration,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
agility switch,,,,Other,,Other,,
rear following front,,,,Other,,Other,,
Magic Sky Control,,,,Other,,Other,,roof
smaller bumps,,,,Other,,Other,,Road Terrain
GLC,,,,Other,,Other,,Generic Car Terms
camera system,,,,Other,,Miscellaneous Features,,Cameras
panel,,,,Other,,Other,,
surround view cameras,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Cameras
propulsion,,,,Other,,Other,,
rear seat headroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
rear row seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
dash angle,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
ferry three,,,,Other,,Other,,
new Audi RS three,,,,Other,,Other,,Generic Car Terms
cabin,,,,Other,,Other,,
window surrounds,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
Audi A one,,,,Other,,Other,,Generic Car Terms
luxury seating package,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
comfort suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
rear passenger door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
core,,,,Other,,Other,,
vehicle everything else,,,,Other,,Other,,
offroading,,,,Other,,Other,,Road Terrain
finishing,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
audio inputs,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
style,,,,Other,,Other,,
ironic range,,,,Other,,Other,,
glove box,,,,Other,,Other,,boot_cargo
over six foot people,,,,Other,,Other,,
acoustic glass,,,,Other,,Other,,
BMW 6 50,,,,Other,,Other,,Generic Car Terms
interior upgrades,,,,Other,,Other,,
camera angle,,,,Other,,Miscellaneous Features,,
BMW X3,,,,Other,,Other,,Generic Car Terms
real world testing,,,,Other,,Other,,
drivers,,,,Other,,Other,,
first generation drive,,,,Other,,Other,,
engine stop start feature,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
leather,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
base car,,,,Other,,Other,,
driver assisstance technology,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Software / Interaction
front door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
drives,,,,Other,,Other,,
shapes around instrument,,,,Other,,Other,,
manual paddles,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
M two,,,,Other,,Other,,
mileage,,,,Other,,Other,,
one plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
three passengers,,,,Other,,Other,,
bench,,,,Other,,Other,,seats
cabins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
exhaust note,,,,Other,,Other,,
SL s AMG,,,,Other,,Other,,
Grill,,,,Other,,Other,,
sound insulation,,,,Other,,Other,,audio
cover,,,,Other,,Other,,
font,,,,Other,,Other,,
engine ,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
digital instruments,,,,Other,,Other,,Displays / Instrumentation
carrying three,,,,Other,,Other,,
touch pad swivel world system,,,,Other,,Other,,Software / Interaction
Headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
support under legs,,,,Other,,Other,,
control interface,,Infotainment Software & Interaction,Technology,Other,,Infotainment & Display,,Physical Controls
Audi RS4,,,,Other,,Other,,Generic Car Terms
control over region,,,,Other,,Other,,
current design,,,,Other,,Other,,
overall length,,,,Other,,Other,,Generic Car Terms
green screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
petrol usage,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
interior loom,,,,Other,,Other,,
gearshift,,,,Other,,Other,,transmission
load area,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
s8,,,,Other,,Other,,Generic Car Terms
A6 500E F40,,,,Other,,Other,,Generic Car Terms
shopping bag hookers,,,,Other,,Other,,
big bulky child safe,,,,Other,,Other,,
back seats down,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
X3 suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
race track,,,,Other,,Other,,Road Terrain
seats dropping,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
air conditioning,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
door open,,,,Other,,Body & Exterior,,Doors
Mercedes-Benz e class,,,,Other,,Other,,Generic Car Terms
steering lock,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
back knee room,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - back knee room
steel,,,,Other,,Other,,
lift,,,,Other,,Other,,
back piano plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
parking guidance system,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver_Assistance
road holding,,,,Other,,Other,,
horses,,,,Other,,Other,,
tired,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
departure angle,,,,Other,,Other,,
wagon,,,,Other,,Other,,
device,,,,Other,,Other,,Road Terrain
control system,,,,Other,,Other,,
bracing,,,,Other,,Other,,Road Terrain
20 inch wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
gear shifter,,,,Other,,Transmission & Drivetrain,,transmission
trunk,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
engine choice,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
receipts,,,,Other,,Other,,
offroad sound,,,,Other,,Other,,Road Terrain
steering wheen adjustment,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
navigation,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Other,,Navigation / Mapping
rear engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
rotary dial,,,,Other,,Other,,Physical Controls
corners,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
Volvo XC60 power,,,,Other,,Other,,engine/ power train
rear quarter lights,,,,Other,,Other,,lighting
brake callipers,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
tray tables,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
three litre V sixty,,,,Other,,Engine & Performance,,engine/ power train
Rs three,,,,Other,,Other,,
super sideways,,,,Other,,Other,,
slabs,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
rear differential,,,,Other,,Other,,
full sports plus mode,,,,Other,,Other,,
deck,,,,Other,,Other,,
front curves,,,,Other,,Other,,
hybrid model,,,,Other,,Engine & Performance,,
mirror,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
touring,,,,Other,,Other,,
corner lamps,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
rear leg room,,,,Other,,Other,,
nose,,,,Other,,Other,,
overall,,,,Other,,Other,,
S5,,,,Other,,Other,,Generic Car Terms
traction management,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
long term reliability,,,,Other,,Other,,Value / Cost
voice activation system,,,,Other,,Other,,Voice & Commands
body kit,,,,Other,,Body & Exterior,,
emotion,,,,Other,,Other,,
frontal progressions,,,,Other,,Other,,
cummings,,,,Other,,Other,,
fittings,,,,Other,,Other,,
steering comfort mode,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
center,,,,Other,,Other,,
A7,,,,Other,,Other,,Generic Car Terms
driving tech,,,,Other,,Other,,Software / Interaction
performance drivability,,,,Other,,Other,,
seatbelt,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
E 63,,,,Other,,Other,,Generic Car Terms
around the bend,,,,Other,,Other,,
public charges,,,,Other,,Other,,
wipers,,,,Other,,Other,,Windscreen / Wipers
BMW M6,,,,Other,,Other,,Generic Car Terms
aero bits price,,,,Other,,Other,,Road Terrain
generation,,,,Other,,Other,,
reversing assistant tech,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver_Assistance
back,,,,Other,,Other,,
I three,,,,Other,,Other,,Generic Car Terms
wide retired,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
cruiser,,,,Other,,Other,,
exhausts,,,,Other,,Other,,
windshield,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Windscreen / Wipers
high speed motorways,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
1.40 S8 engine upgrade,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
touch pad,,Infotainment Software & Interaction,Technology,Other,,Other,,Software / Interaction
rear wheels,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
headrooms,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - headrooms
mirrors,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
hot hatch package,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,
throb,,,,Other,,Other,,
electronic stability off,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
lip,,,,Other,,Other,,
X interface,,,,Other,,Infotainment & Display,,
artificial noise,,,,Other,,Other,,
water jets,,,,Other,,Other,,
driving through central london,,,,Other,,Other,,
SL C300,,,,Other,,Other,,Generic Car Terms
city noise,,,,Other,,Other,,
leather seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
mechanical upgrades,,,,Other,,Other,,
stereo system,,,,Other,,Other,,audio
optional baskets,,,,Other,,Other,,
wood grain,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
engine notes,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
manual driving,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
drawer,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
tail lights design,,,,Other,,Other,,lighting
digital display view change,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
centre console,,,,Other,,Other,,
roundabout,,,,Other,,Other,,
headlight,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
cool features,,,,Other,,Other,,
entry level petrol engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
swivel,,,,Other,,Other,,
switch between screens,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
brake,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
hunches,,,,Other,,Other,,
snow and ice,,,,Other,,Other,,Road Terrain
stiffness,,,,Other,,Other,,
blind spot mornitoring,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Safety
driver seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
version,,,,Other,,Other,,
speed limit,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
hierarchy,,,,Other,,Other,,
feels,,,,Other,,Other,,
trunk space,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
rear door bins,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
edition,,,,Other,,Other,,
pumps sound,,,,Other,,Other,,
round town,,,,Other,,Other,,
magnetic ride,,,,Other,,Other,,
glove boxes,,,,Other,,Other,,boot_cargo
wheel drive,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
USB,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
load floor,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
technology price,,,,Other,,Other,,Software / Interaction
interior overall,,,,Other,,Other,,
handling right,,,,Other,,Handling & Dynamics,,
plugin hybrids,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
V8 engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
body structure,,,,Other,,Body & Exterior,,
"BMW 3 40 I , drive",,,,Other,,Other,,Generic Car Terms
few buttons,,,,Other,,Other,,Physical Controls
windscreen wipers,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
electric engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
supportive gas struts,,,,Other,,Other,,seats
front grill,,,,Other,,Other,,
second row,,,,Other,,Other,,
cargo room,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
 V8 engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
driving assistance package,,,,Other,,Other,,Driver_Assistance
road,,,,Other,,Other,,
innovations,,,,Other,,Other,,
sports plus suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
balance,,,,Other,,Handling & Dynamics,,
grip,,,,Other,,Other,,
lighting animations,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
traction,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
understeer,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
materials quality,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
material,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
tire rim,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
rock crawling,,,,Other,,Other,,Road Terrain
storage areas,,,,Other,,Other,,boot_cargo
blind state monitoring,,,,Other,,Other,,Visibility & View
drive motor,,,,Other,,Other,,
engines,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
electronic shifter,,,,Other,,Other,,
beam span,,,,Other,,Other,,
RS3,,,,Other,,Other,,Generic Car Terms
roof bars,,,,Other,,Body & Exterior,,roof
leg side bolsters,,,,Other,,Other,,
tether points,,,,Other,,Other,,boot_cargo
cruising,,,,Other,,Other,,Driver_Assistance
aspects,,,,Other,,Other,,
M 7 60,,,,Other,,Other,,
indicators,,,,Other,,Other,,
reversing,,,,Other,,Other,,
new Q5,,,,Other,,Other,,
appearance,,,,Other,,Other,,
Mercedes-Benz accents,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Generic Car Terms
torque rating,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,engine/ power train
below body structure,,,,Other,,Body & Exterior,,
0 to 60 time,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
lighting functions,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
water porting,,,,Other,,Other,,
cubby space,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,passenger space - cubby space
automatic box,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,boot_cargo
Audi A8,,,,Other,,Other,,Generic Car Terms
carbon fibre,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
Audi A3 lineup,,,,Other,,Other,,Generic Car Terms
controls,,,,Other,,Other,,
windshield wipers,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Windscreen / Wipers
tire,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
Quattro wheel drive,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Wheels & Tyres
two axle air suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
GT three bumpy road,,,,Other,,Other,,Road Terrain
starting the car,,,,Other,,Other,,
BMW 7 60 Li,,,,Other,,Other,,Generic Car Terms
general quality,,,,Other,,Other,,
concierge service,,,,Other,,Other,,Road Terrain
mastering the system,,,,Other,,Other,,
cooling drink,,,,Other,,Other,,
air intake GT-R,,,,Other,,Other,,Generic Car Terms
garment satnav,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,seats
auto bends,,,,Other,,Other,,Cornering / Grip
trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
wing mirror,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
normal wheel base version,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
green color,,,,Other,,Body & Exterior,,
spacious,,,,Other,,Other,,
information,,,,Other,,Other,,
A3,,,,Other,,Other,,Generic Car Terms
potential performance,,,,Other,,Other,,
lower dash plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
two litre diesel,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
displacement,,,,Other,,Other,,
front seat backs,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
brake field,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
reversing camera definition,,,,Other,,Miscellaneous Features,,Cameras
tronic gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
lift over height,,,,Other,,Other,,
Mercedes SL,,,,Other,,Other,,Generic Car Terms
change,,,,Other,,Other,,
third row seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
driving environment lay out,,,,Other,,Other,,
entertainment screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
window down,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
top end rush,,,,Other,,Other,,
launch,,,,Other,,Other,,
fold seats down,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
TV chair,,,,Other,,Other,,Displays / Instrumentation
latest version,,,,Other,,Other,,
magnifying glass,,,,Other,,Other,,
Advisors,,,,Other,,Other,,
engine pulling power,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
new R8,,,,Other,,Other,,Generic Car Terms
manual mode,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
displays,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
console layer,,,,Other,,Miscellaneous Features,,
Portia 7 18,,,,Other,,Other,,
Key,,,,Other,,Other,,
machine,,,,Other,,Other,,
wood,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
safety,,,,Other,,Other,,Safety
design ethos,,,,Other,,Other,,
performance advantage,,,,Other,,Other,,
styling appeal,,,,Other,,Other,,
happenings,,,,Other,,Other,,
steering wheel adjustment,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
paddle shifter,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
Audi A5,,,,Other,,Other,,Generic Car Terms
Audi,,,,Other,,Other,,Generic Car Terms
exterior design,,,,Other,,Body & Exterior,,
sharp turn,,,,Other,,Other,,Cornering / Grip
headspace,,,,Other,,Other,,passenger space - headspace
rear seat roadster,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
usefulness,,,,Other,,Other,,
M3,,,,Other,,Other,,Generic Car Terms
roof panel,,,,Other,,Body & Exterior,,roof
GT,,,,Other,,Other,,Generic Car Terms
pickup range,,,,Other,,Other,,
new SL,,,,Other,,Other,,
ride suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
doors,,,,Other,,Body & Exterior,,Doors
wheel turn,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
central speaking,,,,Other,,Other,,
manoeuvre in traffic,,,,Other,,Other,,
whole,,,,Other,,Other,,
track,,,,Other,,Other,,Road Terrain
BMW drivers,,,,Other,,Other,,Generic Car Terms
speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
place,,,,Other,,Other,,
elbow room,,,,Other,,Other,,
boot liner,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
rides,,,,Other,,Other,,
architecture,,,,Other,,Other,,
quattro system,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
family car,,,,Other,,Other,,
sun visors,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Windscreen / Wipers
view out,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
