aspect,base_category,MAIN_CATEGORY
voice recognition system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
petrol consumption,fuel / energy / charging,POWERTRAIN / PERFORMANCE
automatic numbers,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
a3 platform,chassis / structural,STRUCTURAL
outside,body class,EXTERIOR / STYLING / DESIGN
speed dialog system,acceleration,POWERTRAIN / PERFORMANCE
driving experience,drive,POWERTRAIN / PERFORMANCE
starting price,value / cost,DISTANCE / MEASUREMENT /  COST
road around bends,road terrain,HANDLING / DYNAMICS
alloys,wheels & tyres,HANDLING / DYNAMICS
spacious,passenger space,INTERIOR / COMFORT / ERGONOMICS
x interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
mercedes-benz c . l . a,model / generic car terms,GENERAL INFORMATION
rotary dial,physical controls,INTERIOR / COMFORT / ERGONOMICS
central hat,roof,EXTERIOR / STYLING / DESIGN
electricity usage,fuel / energy / charging,POWERTRAIN / PERFORMANCE
weight loss,weight,DISTANCE / MEASUREMENT /  COST
bmw x3,model / generic car terms,GENERAL INFORMATION
entertainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
sport driving,drive,POWERTRAIN / PERFORMANCE
room width wise,passenger space,INTERIOR / COMFORT / ERGONOMICS
climate control buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
r three,model / generic car terms,GENERAL INFORMATION
wifi connectivity,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
satellite navigation,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
engine noise,engine / power train,POWERTRAIN / PERFORMANCE
cargo space,passenger space,INTERIOR / COMFORT / ERGONOMICS
steering wheel,steering,HANDLING / DYNAMICS
cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
corner exiting traction,traction / stability,HANDLING / DYNAMICS
front can,front section,EXTERIOR / STYLING / DESIGN
audi x3,model / generic car terms,GENERAL INFORMATION
saloon s5 headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
over speed,acceleration,POWERTRAIN / PERFORMANCE
rear haunches,passenger space,INTERIOR / COMFORT / ERGONOMICS
mercedes-benz,model / generic car terms,GENERAL INFORMATION
trim (outside),design,EMOTIONAL / SENSORY / VISUAL
widescreen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
front two seats,seats,INTERIOR / COMFORT / ERGONOMICS
three passengers,passenger space,INTERIOR / COMFORT / ERGONOMICS
manual gear change,transmission,POWERTRAIN / PERFORMANCE
quattro wheel drive,drive,POWERTRAIN / PERFORMANCE
exterior noise,exterior materials & finish,EXTERIOR / STYLING / DESIGN
gear change,transmission,POWERTRAIN / PERFORMANCE
sticker price,road terrain,HANDLING / DYNAMICS
folders on the backs of the chairs,storage & utility,FUNCTIONAL / UTILITY FEATURES
antiroll bars,traction / stability,HANDLING / DYNAMICS
parking brake,brake,HANDLING / DYNAMICS
armrest,seats,INTERIOR / COMFORT / ERGONOMICS
front weight,weight,DISTANCE / MEASUREMENT /  COST
interior design,design,EMOTIONAL / SENSORY / VISUAL
power uplift,engine / power train,POWERTRAIN / PERFORMANCE
foot well,passenger space,INTERIOR / COMFORT / ERGONOMICS
x two,model / generic car terms,GENERAL INFORMATION
rear windows,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
i three,model / generic car terms,GENERAL INFORMATION
gt-r,model / generic car terms,GENERAL INFORMATION
cost,value / cost,DISTANCE / MEASUREMENT /  COST
load and unload,boot / cargo,FUNCTIONAL / UTILITY FEATURES
luxury seating package,packages / trims / variants,GENERAL INFORMATION
climb,road terrain,HANDLING / DYNAMICS
aerodynamics,driving dynamics / handling,HANDLING / DYNAMICS
trunk size,boot / cargo,FUNCTIONAL / UTILITY FEATURES
changing plugs,engine / power train,POWERTRAIN / PERFORMANCE
front cabin,interior,INTERIOR / COMFORT / ERGONOMICS
engine auto cut off,engine / power train,POWERTRAIN / PERFORMANCE
drives,drive,POWERTRAIN / PERFORMANCE
s tronic gearbox,transmission,POWERTRAIN / PERFORMANCE
tether points,boot / cargo,FUNCTIONAL / UTILITY FEATURES
shift changes,transmission,POWERTRAIN / PERFORMANCE
car wash,functionality & features,FUNCTIONAL / UTILITY FEATURES
digital key,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
door locks,keys & lock,SAFETY
feel behind the steering,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
sport pack,packages / trims / variants,GENERAL INFORMATION
upgraded all round air suspension,suspension,HANDLING / DYNAMICS
middle headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
mpg,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
residual value,value / cost,DISTANCE / MEASUREMENT /  COST
city drive,drive,POWERTRAIN / PERFORMANCE
rear door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
sport and performance package,packages / trims / variants,GENERAL INFORMATION
view,visibility & view,SAFETY
wipers,windscreen / wipers,SAFETY
key start,keys & lock,SAFETY
five and 1/2 1000 rpm,engine / power train,POWERTRAIN / PERFORMANCE
box,boot / cargo,FUNCTIONAL / UTILITY FEATURES
variable rate steering,steering,HANDLING / DYNAMICS
exhaust sound,exhaust,POWERTRAIN / PERFORMANCE
dynamic driving mode,driving dynamics / handling,HANDLING / DYNAMICS
digital dollars,value / cost,DISTANCE / MEASUREMENT /  COST
boot features,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rear lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
rear deck lid,boot / cargo,FUNCTIONAL / UTILITY FEATURES
nose,front section,EXTERIOR / STYLING / DESIGN
upgrade,options & specifications,GENERAL INFORMATION
condition,build quality / construction,STRUCTURAL
usablility,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
auxiliary connectors,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
manual paddles,transmission,POWERTRAIN / PERFORMANCE
rear visibility,visibility & view,SAFETY
driver assistant pack,driver assistance,SAFETY
bulbs,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
audi grills,grill,EXTERIOR / STYLING / DESIGN
speaker sound system,audio,EMOTIONAL / SENSORY / VISUAL
two in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
i drive,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
bumpers,bumper,EXTERIOR / STYLING / DESIGN
visors,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
steering at speed,steering,HANDLING / DYNAMICS
drive motor,drive,POWERTRAIN / PERFORMANCE
window surrounds,windows / glass,EXTERIOR / STYLING / DESIGN
safety features,safety,SAFETY
corner handling,driving dynamics / handling,HANDLING / DYNAMICS
quadrille wheel drive,drive,POWERTRAIN / PERFORMANCE
designed,design,EMOTIONAL / SENSORY / VISUAL
handling right,driving dynamics / handling,HANDLING / DYNAMICS
m performance version,model / generic car terms,GENERAL INFORMATION
standard equipment,equipment,FUNCTIONAL / UTILITY FEATURES
coat off,exterior materials & finish,EXTERIOR / STYLING / DESIGN
soft touch plastics,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
someone over six foot,passenger space,INTERIOR / COMFORT / ERGONOMICS
builds,build quality / construction,STRUCTURAL
2.1 litre diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
auto bends,cornering,HANDLING / DYNAMICS
panoramic sunroof,roof,EXTERIOR / STYLING / DESIGN
real wood,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
load height,boot / cargo,FUNCTIONAL / UTILITY FEATURES
mirror,mirrors,SAFETY
details,design,EMOTIONAL / SENSORY / VISUAL
turning radius,cornering,HANDLING / DYNAMICS
exhaust pipe surround,exhaust,POWERTRAIN / PERFORMANCE
steering mode,steering,HANDLING / DYNAMICS
liftgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
window,windows / glass,EXTERIOR / STYLING / DESIGN
electrically operated steering column,steering,HANDLING / DYNAMICS
road conditions,road terrain,HANDLING / DYNAMICS
power trade,engine / power train,POWERTRAIN / PERFORMANCE
lower bumper,bumper,EXTERIOR / STYLING / DESIGN
side profile,body class,EXTERIOR / STYLING / DESIGN
verdict,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
screen interface,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
satin finish line,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
stopping power,engine / power train,POWERTRAIN / PERFORMANCE
view changes,visibility & view,SAFETY
move,driving dynamics / handling,HANDLING / DYNAMICS
engineering,engine / power train,POWERTRAIN / PERFORMANCE
rear executive seat package,packages / trims / variants,GENERAL INFORMATION
metal roof,roof,EXTERIOR / STYLING / DESIGN
smoke,exhaust,POWERTRAIN / PERFORMANCE
firmness,suspension,HANDLING / DYNAMICS
electric lumbar support,seats,INTERIOR / COMFORT / ERGONOMICS
mercedes-benz star,model / generic car terms,GENERAL INFORMATION
mercedes glc,model / generic car terms,GENERAL INFORMATION
a8 series,model / generic car terms,GENERAL INFORMATION
area,storage & utility,FUNCTIONAL / UTILITY FEATURES
windshield,windscreen / wipers,SAFETY
efficiency mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
exhaust pipes,exhaust,POWERTRAIN / PERFORMANCE
foot wells,passenger space,INTERIOR / COMFORT / ERGONOMICS
gle 350,model / generic car terms,GENERAL INFORMATION
tail,rear section,EXTERIOR / STYLING / DESIGN
midnight edition,packages / trims / variants,GENERAL INFORMATION
tethering point,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
prestige trim level,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
shift button,physical controls,INTERIOR / COMFORT / ERGONOMICS
apple carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
sports mode sound,audio,EMOTIONAL / SENSORY / VISUAL
body,body class,EXTERIOR / STYLING / DESIGN
exhausts pipes,exhaust,POWERTRAIN / PERFORMANCE
piloted drive system,driver assistance,SAFETY
capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
boot liner,boot / cargo,FUNCTIONAL / UTILITY FEATURES
horsepower,engine / power train,POWERTRAIN / PERFORMANCE
normal driving,drive,POWERTRAIN / PERFORMANCE
rear space,passenger space,INTERIOR / COMFORT / ERGONOMICS
servicing,value / cost,DISTANCE / MEASUREMENT /  COST
buying,value / cost,DISTANCE / MEASUREMENT /  COST
handling package,driving dynamics / handling,HANDLING / DYNAMICS
four zone climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
road noise levels,audio,EMOTIONAL / SENSORY / VISUAL
twin turbo petrol horsepower,engine / power train,POWERTRAIN / PERFORMANCE
big boy twin turbo,engine / power train,POWERTRAIN / PERFORMANCE
head space,passenger space,INTERIOR / COMFORT / ERGONOMICS
front seat control,seats,INTERIOR / COMFORT / ERGONOMICS
s line suspension,suspension,HANDLING / DYNAMICS
portia 7 18,model / generic car terms,GENERAL INFORMATION
slow speed,driving dynamics / handling,HANDLING / DYNAMICS
delivery,engine / power train,POWERTRAIN / PERFORMANCE
bumps dynamic mode,road terrain,HANDLING / DYNAMICS
tie down tethers,boot / cargo,FUNCTIONAL / UTILITY FEATURES
backseat headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
boots,boot / cargo,FUNCTIONAL / UTILITY FEATURES
infotainment system knob,physical controls,INTERIOR / COMFORT / ERGONOMICS
a piece of plastic,exterior materials & finish,EXTERIOR / STYLING / DESIGN
lighting functions,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
product,generic description & miscellaneous,GENERAL INFORMATION
motor noise,engine / power train,POWERTRAIN / PERFORMANCE
braking feel,brake,HANDLING / DYNAMICS
power surge,engine / power train,POWERTRAIN / PERFORMANCE
front engine,engine / power train,POWERTRAIN / PERFORMANCE
x3 suspension,suspension,HANDLING / DYNAMICS
rides,drive,POWERTRAIN / PERFORMANCE
usefulness,storage & utility,FUNCTIONAL / UTILITY FEATURES
cubby,storage & utility,FUNCTIONAL / UTILITY FEATURES
number keypad,physical controls,INTERIOR / COMFORT / ERGONOMICS
3 series,model / generic car terms,GENERAL INFORMATION
emergency assist,safety,SAFETY
body style,body class,EXTERIOR / STYLING / DESIGN
high pressure oil system,engine / power train,POWERTRAIN / PERFORMANCE
bmw 6 50,model / generic car terms,GENERAL INFORMATION
size,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
gas cap,fuel / energy / charging,POWERTRAIN / PERFORMANCE
e 63,model / generic car terms,GENERAL INFORMATION
miles per gallon,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
lag,performance,POWERTRAIN / PERFORMANCE
upgraded command system definition,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
apple carplay price,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
shift,transmission,POWERTRAIN / PERFORMANCE
speed limiter,acceleration,POWERTRAIN / PERFORMANCE
cell phone spot,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
ico pro mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
ambient lighting package,packages / trims / variants,GENERAL INFORMATION
top down air,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
bmw s4,model / generic car terms,GENERAL INFORMATION
f40 5 a.m. g suspension,suspension,HANDLING / DYNAMICS
gt three operating window,generic description & miscellaneous,GENERAL INFORMATION
gesture commands,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
towing,functionality & features,FUNCTIONAL / UTILITY FEATURES
electronically controlled dampers,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
outside wheels,wheels & tyres,HANDLING / DYNAMICS
leather seats,seats,INTERIOR / COMFORT / ERGONOMICS
performers,performance,POWERTRAIN / PERFORMANCE
sound proofing,roof,EXTERIOR / STYLING / DESIGN
drive version,drive,POWERTRAIN / PERFORMANCE
clicking sound,audio,EMOTIONAL / SENSORY / VISUAL
rear quarter lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
push,acceleration,POWERTRAIN / PERFORMANCE
roar,audio,EMOTIONAL / SENSORY / VISUAL
start stop feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
rear differential,traction / stability,HANDLING / DYNAMICS
steering adjustment,steering,HANDLING / DYNAMICS
alcantara,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
door handle inserts,doors,EXTERIOR / STYLING / DESIGN
tailgated,boot / cargo,FUNCTIONAL / UTILITY FEATURES
suspension redesign,suspension,HANDLING / DYNAMICS
spoiler button,fuel / energy / charging,POWERTRAIN / PERFORMANCE
car racing technology increments,performance,POWERTRAIN / PERFORMANCE
fidget,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
acceleration in efficiency mode,acceleration,POWERTRAIN / PERFORMANCE
balance point,traction / stability,HANDLING / DYNAMICS
back frame,build quality / construction,STRUCTURAL
oversteer,steering,HANDLING / DYNAMICS
back pillars,chassis / structural,STRUCTURAL
headlamps,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
weight ratio,weight,DISTANCE / MEASUREMENT /  COST
automatic canister,fuel / energy / charging,POWERTRAIN / PERFORMANCE
nine speed automatic transmission,transmission,POWERTRAIN / PERFORMANCE
front seat,seats,INTERIOR / COMFORT / ERGONOMICS
rivals,generic description & miscellaneous,GENERAL INFORMATION
snow and ice,road terrain,HANDLING / DYNAMICS
under floor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
high speeds,acceleration,POWERTRAIN / PERFORMANCE
newest s class,model / generic car terms,GENERAL INFORMATION
front motor,engine / power train,POWERTRAIN / PERFORMANCE
front passenger seat fittings,seats,INTERIOR / COMFORT / ERGONOMICS
touring,packages / trims / variants,GENERAL INFORMATION
sunroof,roof,EXTERIOR / STYLING / DESIGN
slope,road terrain,HANDLING / DYNAMICS
off roading,road terrain,HANDLING / DYNAMICS
talking price,value / cost,DISTANCE / MEASUREMENT /  COST
rpm,engine / power train,POWERTRAIN / PERFORMANCE
standard screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
suv,body type,EXTERIOR / STYLING / DESIGN
door opening,doors,EXTERIOR / STYLING / DESIGN
lack of cabin noise,audio,EMOTIONAL / SENSORY / VISUAL
long drives,drive,POWERTRAIN / PERFORMANCE
engineered,engine / power train,POWERTRAIN / PERFORMANCE
seat buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
aero bits,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
upward visibility,visibility & view,SAFETY
turbo power,engine / power train,POWERTRAIN / PERFORMANCE
battery location,fuel / energy / charging,POWERTRAIN / PERFORMANCE
three litre diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
satnav system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
gas struts,chassis / structural,STRUCTURAL
parking sensors,parking,FUNCTIONAL / UTILITY FEATURES
height from ground,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
pulling power,engine / power train,POWERTRAIN / PERFORMANCE
normal mode sound,audio,EMOTIONAL / SENSORY / VISUAL
downshift,transmission,POWERTRAIN / PERFORMANCE
quattro system,drive,POWERTRAIN / PERFORMANCE
exterior design,exterior materials & finish,EXTERIOR / STYLING / DESIGN
pillars,chassis / structural,STRUCTURAL
color,design,EMOTIONAL / SENSORY / VISUAL
ride,drive,POWERTRAIN / PERFORMANCE
automatic tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
under storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
sports mode gearbox,transmission,POWERTRAIN / PERFORMANCE
hard corners,cornering,HANDLING / DYNAMICS
drive everyday,drive,POWERTRAIN / PERFORMANCE
passenger seat,seats,INTERIOR / COMFORT / ERGONOMICS
start up,engine / power train,POWERTRAIN / PERFORMANCE
middle,passenger space,INTERIOR / COMFORT / ERGONOMICS
offroad grip,traction / stability,HANDLING / DYNAMICS
driving position,drive,POWERTRAIN / PERFORMANCE
blow,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
gt,model / generic car terms,GENERAL INFORMATION
offroad,road terrain,HANDLING / DYNAMICS
sports steering,steering,HANDLING / DYNAMICS
speeds,acceleration,POWERTRAIN / PERFORMANCE
green color,design,EMOTIONAL / SENSORY / VISUAL
wind whistle,audio,EMOTIONAL / SENSORY / VISUAL
technology pack processor,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
dashes,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
parking system,parking,FUNCTIONAL / UTILITY FEATURES
front trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
acceleration,acceleration,POWERTRAIN / PERFORMANCE
auto emergency braking,brake,HANDLING / DYNAMICS
driving through central london,drive,POWERTRAIN / PERFORMANCE
exhaust system,exhaust,POWERTRAIN / PERFORMANCE
middle seat headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
rear seat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
remote key operations,driver assistance,SAFETY
back door,doors,EXTERIOR / STYLING / DESIGN
downforce,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
practical,storage & utility,FUNCTIONAL / UTILITY FEATURES
audio inputs,audio,EMOTIONAL / SENSORY / VISUAL
screen for air conditioning,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
detail,design,EMOTIONAL / SENSORY / VISUAL
accents,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
floor,interior,INTERIOR / COMFORT / ERGONOMICS
twin turbo petrol torque,engine / power train,POWERTRAIN / PERFORMANCE
carbon footprint,fuel / energy / charging,POWERTRAIN / PERFORMANCE
privacy glass,windows / glass,EXTERIOR / STYLING / DESIGN
headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
m5,model / generic car terms,GENERAL INFORMATION
dr selector,physical controls,INTERIOR / COMFORT / ERGONOMICS
body structure,body class,EXTERIOR / STYLING / DESIGN
middle seat,seats,INTERIOR / COMFORT / ERGONOMICS
passenger in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
motor,engine / power train,POWERTRAIN / PERFORMANCE
a3,model / generic car terms,GENERAL INFORMATION
control over driving,drive,POWERTRAIN / PERFORMANCE
spring rate,suspension,HANDLING / DYNAMICS
camera mirrors,mirrors,SAFETY
center arm rest,seats,INTERIOR / COMFORT / ERGONOMICS
quattro ultra system,drive,POWERTRAIN / PERFORMANCE
gear selection,transmission,POWERTRAIN / PERFORMANCE
extend front part seat,seats,INTERIOR / COMFORT / ERGONOMICS
side finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
boot door,boot / cargo,FUNCTIONAL / UTILITY FEATURES
bolsters on steering,steering,HANDLING / DYNAMICS
comforts,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
acceleration,acceleration,POWERTRAIN / PERFORMANCE
s3,model / generic car terms,GENERAL INFORMATION
drive feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
drive modes,driving dynamics / handling,HANDLING / DYNAMICS
hybrid technology,fuel / energy / charging,POWERTRAIN / PERFORMANCE
passenger,passenger space,INTERIOR / COMFORT / ERGONOMICS
super sideways,driving dynamics / handling,HANDLING / DYNAMICS
riding,drive,POWERTRAIN / PERFORMANCE
parcel shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
security,safety,SAFETY
rearward facing child seats,seats,INTERIOR / COMFORT / ERGONOMICS
offroading traction control,traction / stability,HANDLING / DYNAMICS
power,engine / power train,POWERTRAIN / PERFORMANCE
reading lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
radio system,audio,EMOTIONAL / SENSORY / VISUAL
google earth,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
door bin front,storage & utility,FUNCTIONAL / UTILITY FEATURES
plastics,exterior materials & finish,EXTERIOR / STYLING / DESIGN
c pillar,chassis / structural,STRUCTURAL
air intake gt-r,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
front seat set,seats,INTERIOR / COMFORT / ERGONOMICS
folds in back seat,seats,INTERIOR / COMFORT / ERGONOMICS
springs,suspension,HANDLING / DYNAMICS
phone cradle,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
priced,value / cost,DISTANCE / MEASUREMENT /  COST
comfort suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
navigation,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
netted areas,storage & utility,FUNCTIONAL / UTILITY FEATURES
carbon fibre,exterior materials & finish,EXTERIOR / STYLING / DESIGN
track driving,driving dynamics / handling,HANDLING / DYNAMICS
body control,body class,EXTERIOR / STYLING / DESIGN
switch between screens,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
front,front section,EXTERIOR / STYLING / DESIGN
tight spaces,passenger space,INTERIOR / COMFORT / ERGONOMICS
tied down points,boot / cargo,FUNCTIONAL / UTILITY FEATURES
twisty road,road terrain,HANDLING / DYNAMICS
upgraded command system screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
a5,model / generic car terms,GENERAL INFORMATION
simplicity,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
front quarters,passenger space,INTERIOR / COMFORT / ERGONOMICS
folding mirrors,mirrors,SAFETY
safety technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
carrying three in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
miles an hour,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
adaptive suspension comfort mode,driving dynamics / handling,HANDLING / DYNAMICS
rear passengers,passenger space,INTERIOR / COMFORT / ERGONOMICS
deck lid,boot / cargo,FUNCTIONAL / UTILITY FEATURES
writing pad,storage & utility,FUNCTIONAL / UTILITY FEATURES
bmw m3,model / generic car terms,GENERAL INFORMATION
door tops,doors,EXTERIOR / STYLING / DESIGN
undulations of the road,road terrain,HANDLING / DYNAMICS
seating flexibility,seats,INTERIOR / COMFORT / ERGONOMICS
a6 500e f40,model / generic car terms,GENERAL INFORMATION
knee rooms,passenger space,INTERIOR / COMFORT / ERGONOMICS
spare wheel,wheels & tyres,HANDLING / DYNAMICS
three action,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
traffic,road terrain,HANDLING / DYNAMICS
range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
throb,audio,EMOTIONAL / SENSORY / VISUAL
corner handle,cornering,HANDLING / DYNAMICS
cable,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
two litre tf excitable petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
back style,design,EMOTIONAL / SENSORY / VISUAL
going reverse,transmission,POWERTRAIN / PERFORMANCE
no underfloor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
carrying three,passenger space,INTERIOR / COMFORT / ERGONOMICS
philosophy,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
entertainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
a6 back,rear section,EXTERIOR / STYLING / DESIGN
power distribution,engine / power train,POWERTRAIN / PERFORMANCE
recline,seats,INTERIOR / COMFORT / ERGONOMICS
legs,passenger space,INTERIOR / COMFORT / ERGONOMICS
carrying three abreast,passenger space,INTERIOR / COMFORT / ERGONOMICS
optional backup camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
parallel parking,parking,FUNCTIONAL / UTILITY FEATURES
s90,model / generic car terms,GENERAL INFORMATION
audi q7,model / generic car terms,GENERAL INFORMATION
overall look,design,EMOTIONAL / SENSORY / VISUAL
optional led 19 system,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
hook,storage & utility,FUNCTIONAL / UTILITY FEATURES
dynamic engine,engine / power train,POWERTRAIN / PERFORMANCE
leg side bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
dashboard,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
touch pad swivel world system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
assist,driver assistance,SAFETY
extendable seat base,seats,INTERIOR / COMFORT / ERGONOMICS
tire rim,wheels & tyres,HANDLING / DYNAMICS
battery management system,fuel / energy / charging,POWERTRAIN / PERFORMANCE
interior overall,interior,INTERIOR / COMFORT / ERGONOMICS
diesel model fuel tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
servicing plan,value / cost,DISTANCE / MEASUREMENT /  COST
unfamiliar back roads,road terrain,HANDLING / DYNAMICS
gap in the back,build quality / construction,STRUCTURAL
turbo petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
a 35,model / generic car terms,GENERAL INFORMATION
parking center switch,parking,FUNCTIONAL / UTILITY FEATURES
grip,traction / stability,HANDLING / DYNAMICS
blade panel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
mastering the system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
0 to 60 time,acceleration,POWERTRAIN / PERFORMANCE
silhouette,design,EMOTIONAL / SENSORY / VISUAL
switches and dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
maximum cargo space,passenger space,INTERIOR / COMFORT / ERGONOMICS
van,body type,EXTERIOR / STYLING / DESIGN
steering wheel adjustment,steering,HANDLING / DYNAMICS
phone box,storage & utility,FUNCTIONAL / UTILITY FEATURES
entry level petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
rear bumper,bumper,EXTERIOR / STYLING / DESIGN
quality,quality & durability,GENERAL INFORMATION
drive,drive,POWERTRAIN / PERFORMANCE
e class,model / generic car terms,GENERAL INFORMATION
back digital climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
rail,chassis / structural,STRUCTURAL
straight line,road terrain,HANDLING / DYNAMICS
